id,nama_point,alamat,kota,db_long,db_lat,long,lat
"1",JNE Tirto Agung,Jl Tirto Agung 21b Pedalangan,Semarang,110.429932,-7.055470,110.429932,-7.055470
"1",JNE Tirto Agung,Jl Tirto Agung 21b Pedalangan,Semarang,110.429932,-7.055470,110.429636,-7.055871
"1",JNE Tirto Agung,Jl Tirto Agung 21b Pedalangan,Semarang,110.429932,-7.055470,110.429577,-7.055792
"1",JNE Tirto Agung,Jl Tirto Agung 21b Pedalangan,Semarang,110.429932,-7.055470,110.429624,-7.055968
"1",JNE Tirto Agung,Jl Tirto Agung 21b Pedalangan,Semarang,110.429932,-7.055470,110.429533,-7.055933
"1",JNE Tirto Agung,Jl Tirto Agung 21b Pedalangan,Semarang,110.429932,-7.055470,110.429724,-7.055872
"1",JNE Tirto Agung,Jl Tirto Agung 21b Pedalangan,Semarang,110.429932,-7.055470,110.429734,-7.055797
"2",JNE Polines,Jl Prof Sudarto Tembalang,Semarang,110.435226,-7.054651,110.435226,-7.054651
"2",JNE Polines,Jl Prof Sudarto Tembalang,Semarang,110.435226,-7.054651,110.435489,-7.054062
"2",JNE Polines,Jl Prof Sudarto Tembalang,Semarang,110.435226,-7.054651,110.435658,-7.054097
"2",JNE Polines,Jl Prof Sudarto Tembalang,Semarang,110.435226,-7.054651,110.435458,-7.054019
"2",JNE Polines,Jl Prof Sudarto Tembalang,Semarang,110.435226,-7.054651,110.435628,-7.054068
"2",JNE Polines,Jl Prof Sudarto Tembalang,Semarang,110.435226,-7.054651,110.435506,-7.054025
"2",JNE Polines,Jl Prof Sudarto Tembalang,Semarang,110.435226,-7.054651,110.435664,-7.054057
"2",JNE Polines,Jl Prof Sudarto Tembalang,Semarang,110.435226,-7.054651,110.435603,-7.054186
"2",JNE Polines,Jl Prof Sudarto Tembalang,Semarang,110.435226,-7.054651,110.435607,-7.054262
"3",JNE Bulusan,Jl Timoho Raya Tembalang,Semarang,110.442528,-7.060090,110.442528,-7.060090
"3",JNE Bulusan,Jl Timoho Raya Tembalang,Semarang,110.442528,-7.060090,110.442044,-7.059716
"3",JNE Bulusan,Jl Timoho Raya Tembalang,Semarang,110.442528,-7.060090,110.441944,-7.059766
"3",JNE Bulusan,Jl Timoho Raya Tembalang,Semarang,110.442528,-7.060090,110.441961,-7.059688
"3",JNE Bulusan,Jl Timoho Raya Tembalang,Semarang,110.442528,-7.060090,110.441913,-7.059892
"3",JNE Bulusan,Jl Timoho Raya Tembalang,Semarang,110.442528,-7.060090,110.441970,-7.059840
"3",JNE Bulusan,Jl Timoho Raya Tembalang,Semarang,110.442528,-7.060090,110.441874,-7.059736
"3",JNE Bulusan,Jl Timoho Raya Tembalang,Semarang,110.442528,-7.060090,110.441848,-7.059849
"4",TIKI Banjarsari,Jl Banjarsari Selatan 53 Pedalangan,Semarang,110.435933,-7.063010,110.435933,-7.063010
"4",TIKI Banjarsari,Jl Banjarsari Selatan 53 Pedalangan,Semarang,110.435933,-7.063010,110.435915,-7.062360
"4",TIKI Banjarsari,Jl Banjarsari Selatan 53 Pedalangan,Semarang,110.435933,-7.063010,110.435837,-7.062375
"4",TIKI Banjarsari,Jl Banjarsari Selatan 53 Pedalangan,Semarang,110.435933,-7.063010,110.435905,-7.062484
"4",TIKI Banjarsari,Jl Banjarsari Selatan 53 Pedalangan,Semarang,110.435933,-7.063010,110.435850,-7.062547
"4",TIKI Banjarsari,Jl Banjarsari Selatan 53 Pedalangan,Semarang,110.435933,-7.063010,110.436000,-7.062449
"4",TIKI Banjarsari,Jl Banjarsari Selatan 53 Pedalangan,Semarang,110.435933,-7.063010,110.435848,-7.062458
"4",TIKI Banjarsari,Jl Banjarsari Selatan 53 Pedalangan,Semarang,110.435933,-7.063010,110.435928,-7.062428
"5",TIKI Sumurboto,Jl Ngesrep Timur V/67 Sumurboto,Semarang,110.425125,-7.050953,110.425125,-7.050953
"5",TIKI Sumurboto,Jl Ngesrep Timur V/67 Sumurboto,Semarang,110.425125,-7.050953,110.426157,-7.050549
"5",TIKI Sumurboto,Jl Ngesrep Timur V/67 Sumurboto,Semarang,110.425125,-7.050953,110.425983,-7.050575
"5",TIKI Sumurboto,Jl Ngesrep Timur V/67 Sumurboto,Semarang,110.425125,-7.050953,110.426000,-7.050879
"5",TIKI Sumurboto,Jl Ngesrep Timur V/67 Sumurboto,Semarang,110.425125,-7.050953,110.426295,-7.050845
"5",TIKI Sumurboto,Jl Ngesrep Timur V/67 Sumurboto,Semarang,110.425125,-7.050953,110.425965,-7.050984
"5",TIKI Sumurboto,Jl Ngesrep Timur V/67 Sumurboto,Semarang,110.425125,-7.050953,110.425913,-7.050636
"6",J&T Ngesrep,Jl Setiabudi 84b Sumurboto,Semarang,110.418663,-7.050468,110.418663,-7.050468
"6",J&T Ngesrep,Jl Setiabudi 84b Sumurboto,Semarang,110.418663,-7.050468,110.419421,-7.049728
"6",J&T Ngesrep,Jl Setiabudi 84b Sumurboto,Semarang,110.418663,-7.050468,110.419274,-7.049694
"6",J&T Ngesrep,Jl Setiabudi 84b Sumurboto,Semarang,110.418663,-7.050468,110.419378,-7.049642
"6",J&T Ngesrep,Jl Setiabudi 84b Sumurboto,Semarang,110.418663,-7.050468,110.419265,-7.049611
"6",J&T Ngesrep,Jl Setiabudi 84b Sumurboto,Semarang,110.418663,-7.050468,110.419352,-7.049555
"6",J&T Ngesrep,Jl Setiabudi 84b Sumurboto,Semarang,110.418663,-7.050468,110.419152,-7.049846
"6",J&T Ngesrep,Jl Setiabudi 84b Sumurboto,Semarang,110.418663,-7.050468,110.419282,-7.049859
"7",Wahana Sumurboto,Jl Srondol Bumi Indah 88 Sumurboto,Semarang,110.422753,-7.051509,110.422753,-7.051509
"7",Wahana Sumurboto,Jl Srondol Bumi Indah 88 Sumurboto,Semarang,110.422753,-7.051509,110.422620,-7.052230
"7",Wahana Sumurboto,Jl Srondol Bumi Indah 88 Sumurboto,Semarang,110.422753,-7.051509,110.422690,-7.052293
"7",Wahana Sumurboto,Jl Srondol Bumi Indah 88 Sumurboto,Semarang,110.422753,-7.051509,110.422640,-7.052280
"7",Wahana Sumurboto,Jl Srondol Bumi Indah 88 Sumurboto,Semarang,110.422753,-7.051509,110.422529,-7.052365
"7",Wahana Sumurboto,Jl Srondol Bumi Indah 88 Sumurboto,Semarang,110.422753,-7.051509,110.422583,-7.052156
"7",Wahana Sumurboto,Jl Srondol Bumi Indah 88 Sumurboto,Semarang,110.422753,-7.051509,110.422748,-7.052232
"7",Wahana Sumurboto,Jl Srondol Bumi Indah 88 Sumurboto,,110.422753,-7.051509,110.422483,-7.052243
